customerID,churn_probability,risk_segment
0970-ETWGE,0.8431013,high
2506-TNFCO,0.842977,high
6513-EECDB,0.8429569,high
9787-XVQIU,0.8418495,high
5834-ASPWA,0.8418495,high
9444-JTXHZ,0.8416621,high
2446-BEGGB,0.8413484,high
8098-LLAZX,0.8402742,high
6457-USBER,0.8401448,high
4415-IJZTP,0.8397415,high
6358-LYNGM,0.8397415,high
8816-VXNZD,0.8397415,high
1157-BQCUW,0.8397415,high
1452-VOQCH,0.8397415,high
5167-ZFFMM,0.83816934,high
6618-RYATB,0.8379936,high
7577-SWIFR,0.8378572,high
1455-ESIQH,0.8378572,high
3722-WPXTK,0.8378572,high
7439-DKZTW,0.8375008,high
5494-HECPR,0.8375008,high
5567-WSELE,0.83733183,high
5597-GLBUC,0.8371901,high
7503-ZGUZJ,0.8360803,high
5539-TMZLF,0.8358307,high
1448-PWKYE,0.8355678,high
4424-TKOPW,0.8354951,high
2202-CUYXZ,0.83532095,high
6496-SLWHQ,0.83513653,high
7594-RQHXR,0.8350028,high
2004-OCQXK,0.834328,high
4614-NUVZD,0.834328,high
0318-QUUOB,0.8333197,high
2720-WGKHP,0.8318421,high
2982-IHMFT,0.83000857,high
5919-TMRGD,0.8295574,high
7851-WZEKY,0.82858586,high
3811-VBYBZ,0.82808805,high
6086-ESGRL,0.8277086,high
9725-SCPZG,0.82755804,high
3643-AHCFP,0.82703304,high
1846-XWOQN,0.8267728,high
8000-REIQB,0.8267728,high
3878-AVSOQ,0.8267728,high
9605-WGJVW,0.8267728,high
9488-HGMJH,0.8267728,high
5550-VFRLC,0.8267728,high
9603-OAIHC,0.8267728,high
8051-HJRLT,0.8267728,high
8644-XLFBW,0.8267728,high
2656-TABEH,0.82661384,high
7493-TPUWZ,0.8261112,high
3049-SOLAY,0.8249456,high
3389-YGYAI,0.82449216,high
8372-JUXUI,0.82415396,high
3428-XZMAZ,0.823935,high
6502-MJQAE,0.823935,high
7660-HDPJV,0.823935,high
1820-TQVEV,0.823935,high
7254-IQWOZ,0.823935,high
0488-GSLFR,0.823935,high
7665-TOALD,0.823935,high
6457-GIRWB,0.823935,high
9728-FTTVZ,0.823935,high
0679-IDSTG,0.8237576,high
1400-MMYXY,0.822804,high
4273-MBHYA,0.82270914,high
1363-TXLSL,0.82237434,high
5186-SAMNZ,0.82222724,high
5275-SQEIZ,0.8218865,high
4626-GYCZP,0.8215632,high
9507-EXLTT,0.8212594,high
0897-FEGMU,0.8210382,high
6996-KNSML,0.82043594,high
9025-AOMKI,0.82010597,high
5376-DEQCP,0.818828,high
4510-HIMLV,0.818828,high
0328-GRPMV,0.818828,high
1031-IIDEO,0.818828,high
7465-ZZRVX,0.818828,high
9804-ICWBG,0.818828,high
4702-IOQDC,0.818828,high
5542-TBBWB,0.818828,high
6653-CBBOM,0.818828,high
4603-JANFB,0.818828,high
5875-YPQFJ,0.818828,high
3244-DCJWY,0.818828,high
3494-JCHRQ,0.818828,high
1640-PLFMP,0.818828,high
2446-PLQVO,0.818828,high
4844-JJWUY,0.8186339,high
5564-NEMQO,0.81844616,high
4695-WJZUE,0.81797194,high
4587-VVTOX,0.8179565,high
2660-EMUBI,0.8172702,high
1273-MTETI,0.81706643,high
5052-PNLOS,0.81706494,high
4822-RVYBB,0.81541324,high
0235-KGSLC,0.8149705,high
3387-VATUS,0.81486046,high
3276-HDUEG,0.81438905,high
3707-GNWHM,0.81438905,high
1941-HOSAM,0.8141861,high
7409-KIUTL,0.81407577,high
2454-RPBRZ,0.8134841,high
0137-OCGAB,0.81218845,high
7180-PISOG,0.81184155,high
2254-DLXRI,0.81128144,high
4550-EVXNY,0.8110774,high
5150-ITWWB,0.81086636,high
9305-CDSKC,0.8108089,high
3746-EUBYR,0.8097484,high
3296-SILRA,0.8078742,high
0564-JJHGS,0.8075057,high
2462-XIIJB,0.80750227,high
0781-LKXBR,0.80749696,high
6108-OQZDQ,0.80661803,high
9546-CQJSU,0.8061065,high
3801-HMYNL,0.80604345,high
7595-EUIVN,0.8060401,high
8380-PEFPE,0.8056856,high
3776-EKTKM,0.80568403,high
5277-ZLOOR,0.80520797,high
5519-NPHVG,0.80400985,high
1977-STDKI,0.8038888,high
1143-NMNQJ,0.8038308,high
8779-QRDMV,0.80374616,high
3097-NQYSN,0.8036351,high
2013-SGDXK,0.8030982,high
7234-FECYN,0.80251557,high
8309-IEYJD,0.80212444,high
6474-FVJLC,0.8016694,high
1579-KLYDT,0.8015614,high
0196-VULGZ,0.80155176,high
4927-WWOOZ,0.8014768,high
2865-TCHJW,0.8011289,high
1628-BIZYP,0.7993041,high
3489-HHPFY,0.7991927,high
2018-QKYGT,0.798221,high
5383-MMTWC,0.79788584,high
4750-ZRXIU,0.7978547,high
2545-EBUPK,0.79743564,high
0390-DCFDQ,0.79725355,high
0742-NXBGR,0.7964435,high
2205-YMZZJ,0.79595363,high
0702-PGIBZ,0.79549557,high
7450-NWRTR,0.7951239,high
0697-ZMSWS,0.79475915,high
3006-XIMLN,0.79429036,high
7908-QCBCA,0.7939505,high
5380-AFSSK,0.7938014,high
5196-SGOAK,0.79373175,high
4078-SAYYN,0.7934724,high
2024-BASKD,0.79278314,high
8593-WHYHV,0.7926034,high
1853-UDXBW,0.7924057,high
3422-LYEPQ,0.7924057,high
5134-IKDAY,0.7924057,high
8821-XNHVZ,0.79185694,high
5229-PRWKT,0.7910403,high
6328-ZPBGN,0.7907749,high
5032-MIYKT,0.7905688,high
3066-RRJIO,0.7905688,high
6140-QNRQQ,0.7905688,high
2619-WFQWU,0.7905688,high
8042-JVNFH,0.7905688,high
9617-INGJY,0.7905688,high
0968-GSIKN,0.7905688,high
9985-MWVIX,0.7905688,high
0259-GBZSH,0.7902967,high
1875-QIVME,0.789824,high
0023-HGHWL,0.78961694,high
1768-ZAIFU,0.78961694,high
7932-WPTDS,0.78949285,high
8780-IXSTS,0.7891003,high
7330-WZLNC,0.7891003,high
1374-DMZUI,0.7889752,high
3765-JXVKY,0.78832537,high
4274-OWWYO,0.78832537,high
8992-JQYUN,0.78802365,high
8414-MYSHR,0.78746426,high
5095-AESKG,0.7851713,high
0880-TKATG,0.7851006,high
4929-XIHVW,0.7846864,high
3319-DWOEP,0.7845691,high
6630-UJZMY,0.7844066,high
2012-NWRPA,0.78414226,high
8775-ERLNB,0.78406376,high
3716-BDVDB,0.78368104,high
6702-OHFWR,0.7831009,high
8622-ZLFKO,0.7821653,high
7488-MXJIV,0.7816063,high
1447-GIQMR,0.7812532,high
4806-HIPDW,0.7812532,high
2180-DXNEG,0.7800896,high
6892-EZDTG,0.77970403,high
3177-LASXD,0.77926874,high
7153-OANIO,0.77926874,high
1915-IOFGU,0.77926874,high
2262-SLNVK,0.77926874,high
4759-TRPLW,0.77926874,high
3106-ULWFW,0.7792597,high
2642-DTVCO,0.7787018,high
1925-TIBLE,0.77791286,high
0515-YPMCW,0.7773208,high
4228-ZGYUW,0.77712196,high
7181-BQYBV,0.77679,high
2672-HUYVI,0.77600056,high
3198-VELRD,0.7757606,high
9957-YODKZ,0.7751368,high
2034-GDRCN,0.77510154,high
7526-BEZQB,0.77495843,high
0754-UKWQP,0.7749506,high
3318-NMQXL,0.7742317,high
5583-SXDAG,0.7739938,high
8357-EQXFO,0.77363896,high
2968-SSGAA,0.7732022,high
1304-NECVQ,0.77243483,high
4132-KALRO,0.77229244,high
7398-SKNQZ,0.7722142,high
3727-RJMEO,0.77199996,high
0187-QSXOE,0.7713956,high
8808-ELEHO,0.77112234,high
4115-NZRKS,0.77100927,high
1455-UGQVH,0.7707856,high
3320-VEOYC,0.77060765,high
6416-TVAIH,0.76928836,high
6137-NICCO,0.76926416,high
8739-XNIKG,0.76893365,high
9611-CTWIH,0.76864284,high
0812-WUPTB,0.76787674,high
4140-MUHUG,0.76695395,high
8413-VONUO,0.7663796,high
4060-LDNLU,0.76606965,high
9894-EZEWG,0.766033,high
4951-UKAAQ,0.7653145,high
0325-XBFAC,0.76454866,high
4501-EQDRN,0.76440763,high
5884-GCYMI,0.76440763,high
4110-PFEUZ,0.76440763,high
4145-UQXUQ,0.7639581,high
3621-CEOVK,0.7638266,high
6688-UZPWD,0.7628447,high
5054-IEXZT,0.76281804,high
1122-JWTJW,0.76267344,high
1062-LHZOD,0.76267344,high
3902-FOIGH,0.7610786,high
7228-OMTPN,0.7595032,high
8161-QYMTT,0.75945157,high
5043-TRZWM,0.75917965,high
9940-RHLFB,0.75917965,high
3871-IKPYH,0.75915563,high
5940-AHUHD,0.75808114,high
0519-XUZJU,0.75808114,high
0151-ONTOV,0.75808114,high
8040-MNRTF,0.75808114,high
0511-JTEOY,0.75808114,high
6683-VLCTZ,0.7580235,high
5644-PDMZC,0.7574634,high
3462-BJQQA,0.7573323,high
0334-GDDSO,0.75683284,high
3217-FZDMN,0.75647885,high
2612-RANWT,0.7563499,high
2920-RNCEZ,0.75552934,high
9547-ITEFG,0.7550657,high
1084-UQCHV,0.7544282,high
2485-ITVKB,0.75406194,high
2737-WFVYW,0.7540469,high
8348-HFYIV,0.7540469,high
8087-LGYHQ,0.7538819,high
6356-ELRKD,0.7535747,high
0655-RBDUG,0.7535657,high
1389-CXMLU,0.75352556,high
7249-WBIYX,0.7533328,high
5348-CAGXB,0.7531808,high
5419-CONWX,0.75307906,high
9061-TIHDA,0.7527911,high
3606-TWKGI,0.7521633,high
6969-MVBAI,0.7520987,high
8258-GSTJK,0.75170964,high
2265-CYWIV,0.7506136,high
9944-HKVVB,0.7498861,high
6060-DRTNL,0.74984735,high
3091-FYHKI,0.7488192,high
0841-NULXI,0.7488192,high
2027-FECZV,0.7488071,high
7576-OYWBN,0.7487869,high
7943-RQCHR,0.748422,high
0220-EBGCE,0.74737513,high
0375-HVGXO,0.74733096,high
5378-IKEEG,0.74733096,high
4192-GORJT,0.7469074,high
7994-UYIVZ,0.7464709,high
0680-DFNNY,0.7456586,high
7779-LGOVN,0.7452301,high
4795-KTRTH,0.74457765,high
9399-APLBT,0.74454284,high
7548-SEPYI,0.74434835,high
8337-UPOAQ,0.74396586,high
2952-QAYZF,0.74380195,high
5349-IECLD,0.7434776,high
8058-JMEQO,0.7429178,high
0684-AOSIH,0.7426654,high
5956-VKDTT,0.74258465,high
1197-BVMVG,0.74258465,high
2114-MGINA,0.74257374,high
6350-XFYGW,0.74133754,high
7568-PODML,0.7412401,high
1618-CFHME,0.74120677,high
9094-AZPHK,0.7401093,high
0612-RTZZA,0.73996645,high
0616-ATFGB,0.7398227,high
4285-GYRQC,0.73885137,high
7903-CMPEY,0.7387996,high
0495-ZBNGW,0.73877364,high
9451-LPGOO,0.7375716,high
5565-FILXA,0.73739976,high
1086-LXKFY,0.73734266,high
4086-YQSNZ,0.7371181,high
5835-BEQEU,0.73672146,high
0637-KVDLV,0.73672146,high
5760-IFJOZ,0.73601025,high
6615-NGGZJ,0.7358499,high
7760-OYPDY,0.7357243,high
2074-GKOWZ,0.73491776,high
4952-YSOGZ,0.7347218,high
0661-XEYAN,0.7346841,high
1496-GGSUK,0.7346841,high
5673-FSSMF,0.73439336,high
5442-UTCVD,0.73424274,high
3992-YWPKO,0.734224,high
4749-OJKQU,0.73368484,high
9747-DDZOS,0.7336492,high
4713-LZDRV,0.7332032,high
3473-XIIIT,0.73239785,high
1024-GUALD,0.7320942,high
9334-GWGOW,0.7317743,high
7074-IEVOJ,0.73109657,high
2472-OVKUP,0.7309088,high
5357-TZHPP,0.7307711,high
1724-BQUHA,0.7305107,high
1320-HTRDR,0.73035806,high
7817-BOQPW,0.73035806,high
1334-FJSVR,0.7301756,high
7365-BVCJH,0.7301756,high
9878-TNQGW,0.730147,high
4581-SSPWD,0.7299612,high
4112-LUEIZ,0.7297454,high
2516-VQRRV,0.72929794,high
1075-BGWOH,0.72928894,high
6275-YDUVO,0.7289038,high
6161-UUUTA,0.72885895,high
7341-LXCAF,0.7272454,high
0404-SWRVG,0.7272454,high
8083-YTZES,0.7272454,high
9306-CPCBC,0.7272454,high
4090-KPJIP,0.7272454,high
7314-OXENN,0.7266762,high
6210-KBBPI,0.7266756,high
3874-EQOEP,0.7265916,high
2672-DZUOY,0.72631013,high
0709-TVGUR,0.7262834,high
7235-NXZCP,0.72617763,high
4847-TAJYI,0.7261479,high
7479-NITWS,0.7259942,high
9185-TQCVP,0.7250706,high
2691-NZETQ,0.72503084,high
7295-JOMMD,0.72482306,high
4548-SDBKE,0.7245292,high
1624-NALOJ,0.72439367,high
2982-VPSGI,0.7241462,high
2856-HYAPG,0.7237686,high
3877-JRJIP,0.7237285,high
0822-GAVAP,0.7232535,high
1571-SAVHK,0.72307783,high
8242-SOQUO,0.72303444,high
5168-MSWXT,0.7226767,high
4395-PZMSN,0.7224877,high
8443-ZRDBZ,0.7224867,high
9231-ZJYAM,0.72229284,high
2612-RRIDN,0.72226954,high
9514-JDSKI,0.72199976,high
1981-INRFU,0.7215655,high
0195-IESCP,0.7210774,high
9317-WZPGV,0.7205995,high
4143-OOBWZ,0.72049797,high
6407-UTSLV,0.7200668,high
3398-FSHON,0.7198345,high
9172-ANCRX,0.71978253,high
3750-CKVKH,0.71964246,high
1567-DSCIC,0.71940106,high
3440-JPSCL,0.71910596,high
2369-UAPKZ,0.71889883,high
4529-CKBCL,0.7186832,high
9689-PTNPG,0.7186832,high
1746-TGTWV,0.71835047,high
1393-IMKZG,0.71799344,high
2645-QTLMB,0.717672,high
8185-UPYBR,0.71763,high
7321-VGNKU,0.7173133,high
3372-KWFBM,0.7155915,high
6734-GMPVK,0.7155547,high
7938-OUHIO,0.7155176,high
8972-HJWNV,0.7149333,high
0916-QOFDP,0.7148587,high
5293-WXJAK,0.71474075,high
5318-IXUZF,0.713931,high
2135-DQWAQ,0.7136438,high
3138-BKYAV,0.71315753,high
1010-DIAUQ,0.7128487,high
3422-GALYP,0.71258396,high
9095-HFAFX,0.7125211,high
2880-FPNAE,0.71221465,high
9290-SHCMB,0.7122016,high
0011-IGKFF,0.712118,high
2215-ZAFGX,0.7115308,high
6772-KSATR,0.7114643,high
3797-VTIDR,0.7114522,high
3045-XETSH,0.71109086,high
2260-USTRB,0.710813,high
5995-SNNEW,0.71049917,high
2990-HWIML,0.71020144,high
7590-VHVEG,0.7099999,high
4445-ZJNMU,0.7095421,high
4806-KEXQR,0.7090471,high
7890-VYYWG,0.70892316,high
8245-UMPYT,0.7084798,high
1195-OIYEJ,0.70826364,high
0722-TROQR,0.7081944,high
7225-CBZPL,0.70789945,high
9840-EFJQB,0.70784587,high
6583-KQJLK,0.70630777,high
8752-STIVR,0.70621264,high
4234-XTNEA,0.70621264,high
9837-BMCLM,0.70621264,high
2959-MJHIC,0.70621264,high
1678-FYZOW,0.70621264,high
6357-JJPQT,0.70621264,high
7767-UXAGJ,0.705895,high
9221-OTIVJ,0.70582545,high
2026-TGDHM,0.7057426,high
7394-LWLYN,0.70518863,high
6856-RAURS,0.7048894,high
3074-GQWYX,0.7045531,high
3295-YVUSR,0.70451534,high
9850-OWRHQ,0.704343,high
0722-SVSFK,0.70426,high
8873-GLDMH,0.7041758,high
7638-QVMVY,0.7036049,high
7145-FEJWU,0.7034898,high
6221-AVQYL,0.70346373,high
8086-OVPWV,0.70219725,high
4210-QFJMF,0.70219725,high
2789-HQBOU,0.70219725,high
1173-XZPYF,0.7014795,high
2674-MIAHT,0.7001303,high
4566-NECEV,0.70011383,high
7563-BIUPC,0.6999227,medium
2397-BRLOM,0.6995377,medium
2929-ERCFZ,0.6993606,medium
4342-HENTK,0.69922626,medium
5804-LEPIM,0.69922626,medium
5276-KQWHG,0.69917196,medium
8714-CTZJW,0.69901544,medium
3957-LXOLK,0.6986578,medium
2123-AGEEN,0.69840443,medium
1740-CSDJP,0.6983294,medium
5570-PTWEH,0.6977153,medium
3519-ZKXGG,0.69729954,medium
3452-GWUIN,0.69725835,medium
9965-YOKZB,0.6972196,medium
3317-HRTNN,0.69720656,medium
3292-PBZEJ,0.6962209,medium
8361-LTMKD,0.6961796,medium
5561-NWEVX,0.695822,medium
9809-IMGCQ,0.69581765,medium
0329-GTIAJ,0.6957118,medium
6424-ELEYH,0.6943835,medium
2868-SNELZ,0.693938,medium
0432-CAJZV,0.69393176,medium
8168-UQWWF,0.69291115,medium
0306-JAELE,0.6928171,medium
8937-RDTHP,0.692175,medium
3793-MMFUH,0.6920829,medium
5935-FCCNB,0.69195145,medium
5520-FVEWJ,0.69160587,medium
4021-RQSNY,0.6908273,medium
8943-URTMR,0.6907769,medium
8844-TONUD,0.69033194,medium
6326-MTTXK,0.69018936,medium
9134-CEQMF,0.6900921,medium
7392-YYPYJ,0.68995905,medium
7044-YAACC,0.68911356,medium
5698-BQJOH,0.68905663,medium
0947-IDHRQ,0.6887757,medium
3191-CSNMG,0.68873477,medium
1219-NNDDO,0.68809,medium
2754-VDLTR,0.68793696,medium
8111-SLLHI,0.6879365,medium
9799-CAYJJ,0.687668,medium
2055-PDADH,0.687668,medium
6786-OBWQR,0.6874931,medium
0674-EYYZV,0.6868249,medium
3834-XUIFC,0.68681824,medium
8510-AWCXC,0.6861779,medium
0231-LXVAP,0.6859987,medium
2799-ARNLO,0.6859435,medium
0644-OQMDK,0.6859435,medium
5159-YFPKQ,0.6856469,medium
4706-AXVKM,0.685307,medium
9907-SWKKF,0.6851835,medium
0365-BZUWY,0.68512505,medium
9897-KXHCM,0.6850223,medium
9822-OAOVB,0.68398976,medium
3063-QFSZL,0.68398976,medium
3583-EKAPL,0.68398976,medium
5909-ECHUI,0.68398976,medium
5501-TVMGM,0.68398976,medium
3663-MITLP,0.6838816,medium
1731-TVIUK,0.6838392,medium
9565-DJPIB,0.68381685,medium
6877-TJMBR,0.68340313,medium
8861-HGGKB,0.6830248,medium
4236-XPXAV,0.682542,medium
9050-IKDZA,0.68252224,medium
3721-CNEYS,0.6824084,medium
4482-EWFMI,0.6824084,medium
8835-VSDSE,0.6824084,medium
3030-YDNRM,0.68154776,medium
3199-XGZCY,0.68154776,medium
7029-RPUAV,0.68037605,medium
1342-JPNKI,0.67963195,medium
9840-DVNDC,0.6795537,medium
2379-ENZGV,0.679222,medium
6892-XPFPU,0.679017,medium
3329-WDIOK,0.67890036,medium
1200-TUZHR,0.67863727,medium
0004-TLHLJ,0.6785549,medium
1508-DFXCU,0.6785167,medium
5429-LWCMV,0.6783929,medium
6956-SMUCM,0.6783834,medium
7242-QZLXF,0.678282,medium
2862-PFNIK,0.678282,medium
5889-LFOLL,0.67809755,medium
5883-GTGVD,0.6778672,medium
0506-LVNGN,0.6776654,medium
2740-TVLFN,0.6773672,medium
0248-IPDFW,0.6773672,medium
4884-ZTHVF,0.67609876,medium
6015-VVHHE,0.675675,medium
4910-AQFFX,0.6752969,medium
7858-GTZSP,0.67518276,medium
6941-PMGEP,0.6751209,medium
9430-FRQOC,0.675064,medium
4094-NSEDU,0.6749519,medium
3186-BAXNB,0.6744962,medium
8132-YPVBX,0.674124,medium
8417-FMLZI,0.67396027,medium
2761-OCIAX,0.6739422,medium
0219-YTZUE,0.6736167,medium
5868-YWPDW,0.67323357,medium
6101-IMRMM,0.6726839,medium
9408-SSNVZ,0.6724654,medium
2058-DCJBE,0.6724654,medium
7379-POKDZ,0.6724654,medium
6047-YHPVI,0.6724654,medium
8107-KNCIM,0.6721427,medium
5685-IIXLY,0.6715754,medium
1626-ERCMM,0.67156106,medium
2038-OEQZH,0.671275,medium
8800-JOOCF,0.6711465,medium
7130-VTEWQ,0.67112875,medium
3841-CONLJ,0.67106795,medium
4298-OYIFC,0.6710527,medium
2845-AFFTX,0.6709246,medium
2077-MPJQO,0.67081094,medium
6608-QQLVK,0.67079777,medium
9741-YLNTD,0.67073524,medium
7615-ESMYF,0.6707025,medium
9237-HQITU,0.6705084,medium
6077-BDPXA,0.6705084,medium
2568-BRGYX,0.6705084,medium
7245-NIIWQ,0.6705084,medium
2897-DOVND,0.6705084,medium
9717-QEBGU,0.6705084,medium
7384-GHBPI,0.67045313,medium
1475-VWVDO,0.66955125,medium
5482-PLVPE,0.6692089,medium
9633-XQABV,0.6687347,medium
1450-GALXR,0.66838175,medium
1078-TDCRN,0.6680908,medium
5445-UTODQ,0.667566,medium
9274-CNFMO,0.66755944,medium
1658-BYGOY,0.66649073,medium
4813-HQMGZ,0.6663324,medium
8634-MPHTR,0.6660046,medium
8183-ONMXC,0.66551304,medium
5955-ERIHD,0.6648685,medium
7693-LCKZL,0.6647833,medium
1565-RHDJD,0.6647676,medium
7854-FOKSF,0.66457003,medium
4822-NGOCH,0.66445,medium
9921-ZVRHG,0.6643791,medium
5956-YHHRX,0.6642036,medium
6100-QQHEB,0.6641676,medium
6979-ZNSFF,0.6636611,medium
7156-MHUGY,0.6633912,medium
5027-QPKTE,0.6633757,medium
7218-HKQFK,0.66327703,medium
3393-FMZPV,0.662797,medium
2984-AFWNC,0.6627788,medium
5940-NFXKV,0.6627123,medium
2815-CPTUL,0.66247684,medium
2506-CLAKW,0.6622234,medium
3247-ZVOUO,0.661683,medium
2430-USGXP,0.66161984,medium
4059-IIEBK,0.66103256,medium
7508-MYBOG,0.6609591,medium
5405-ZMYXQ,0.6608859,medium
7089-IVVAZ,0.6600651,medium
1866-RZZQS,0.6592537,medium
6860-YRJZP,0.6590542,medium
6168-WFVVF,0.65900505,medium
9685-WKZGT,0.6589424,medium
7273-TEFQD,0.6587328,medium
6229-LSCKB,0.6587141,medium
1569-TTNYJ,0.658533,medium
1704-NRWYE,0.65850574,medium
0508-OOLTO,0.65810835,medium
5609-CEBID,0.6580277,medium
9696-RMYBA,0.6579532,medium
2081-VEYEH,0.6574723,medium
7668-XCFYV,0.6574301,medium
6390-DSAZX,0.65716255,medium
8445-DNBAE,0.65648437,medium
6128-CZOMY,0.65629154,medium
2135-RXIHG,0.65629154,medium
2082-CEFLT,0.65629154,medium
5077-DXTCG,0.65629154,medium
8485-GJCDN,0.6558479,medium
0925-VYDLG,0.65581715,medium
4229-CZMLL,0.65579253,medium
9625-QSTYE,0.6552639,medium
0122-OAHPZ,0.6545947,medium
9058-CBREO,0.6545729,medium
0689-NKYLF,0.6544503,medium
9136-ALYBR,0.6538008,medium
9734-UYXQI,0.6536874,medium
9367-WXLCH,0.6531868,medium
3096-GKWEB,0.65303797,medium
6711-FLDFB,0.65291196,medium
3797-FKOGQ,0.652523,medium
7823-JSOAG,0.65225375,medium
1309-BXVOQ,0.65215445,medium
0258-NOKBL,0.6520506,medium
7969-AULMZ,0.6518976,medium
7079-QRCBC,0.65122694,medium
3916-NRPAP,0.6509717,medium
8313-NDOIA,0.6506908,medium
9919-KNPOO,0.6506814,medium
4514-GFCFI,0.6506291,medium
8356-WUAOJ,0.6502925,medium
1980-KXVPM,0.6502864,medium
6435-SRWBJ,0.64992166,medium
6993-OHLXR,0.6499168,medium
8225-BTJAU,0.64987093,medium
2688-BHGOG,0.64987093,medium
3908-BLSYF,0.64962524,medium
6260-ONULR,0.6496203,medium
3585-ISXZP,0.6495841,medium
6032-IGALN,0.6493665,medium
4367-NHWMM,0.6493665,medium
7537-RBWEA,0.6493665,medium
6000-APYLU,0.64923537,medium
5047-LHVLY,0.6491888,medium
4315-MURBD,0.64914334,medium
1976-CFOCS,0.6490007,medium
7198-GLXTC,0.64883536,medium
2985-FMWYF,0.6485107,medium
4597-NUCQV,0.64835846,medium
0135-NMXAP,0.6480275,medium
5928-QLDHB,0.64795905,medium
7495-OOKFY,0.64790934,medium
3411-WLRSQ,0.6476513,medium
6689-TCZHQ,0.6475926,medium
5183-SNMJQ,0.64757454,medium
9828-AOQLM,0.6470313,medium
4770-UEZOX,0.6469667,medium
8118-LSUEL,0.64669,medium
6127-IYJOZ,0.64616823,medium
2495-INZWQ,0.6460909,medium
5832-XKAES,0.6458945,medium
0455-XFASS,0.64582956,medium
9600-NAXZN,0.6456056,medium
8676-TRMJS,0.6454932,medium
0236-HFWSV,0.645237,medium
9846-GKXAS,0.6442341,medium
9227-LUNBG,0.6441834,medium
5649-ANRML,0.64385504,medium
6502-HCJTI,0.64328176,medium
1866-OBPNR,0.6429748,medium
3855-ONCAR,0.64274055,medium
6185-TASNN,0.64262104,medium
4854-CIDCF,0.642248,medium
0168-XZKBB,0.6420283,medium
5228-EXCET,0.6419889,medium
5569-KGJHX,0.64192915,medium
8443-WVPSS,0.6419049,medium
2800-VEQXM,0.641658,medium
7284-BUYEC,0.641597,medium
9436-ZBZCT,0.64147514,medium
2969-QWUBZ,0.641214,medium
7571-YXDAD,0.6408467,medium
1465-VINDH,0.6403533,medium
3384-CTMSF,0.6403493,medium
0302-JOIVN,0.6401989,medium
4195-NZGTA,0.63969386,medium
0480-BIXDE,0.6396806,medium
0013-EXCHZ,0.63948274,medium
3629-ZNKXA,0.63935024,medium
6432-TWQLB,0.6393228,medium
4484-GLZOU,0.6391171,medium
9391-EOYLI,0.6388041,medium
6110-OHIHY,0.6387263,medium
0411-EZJZE,0.6387225,medium
8931-GJJIQ,0.6386533,medium
7613-LLQFO,0.6383034,medium
7326-RIGQZ,0.6377018,medium
9402-ORRAH,0.6374995,medium
6437-UKHMV,0.63716644,medium
7625-XCQRH,0.6367959,medium
8382-SHQEH,0.63657206,medium
