gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,AvgCharges,ChargeDifference,ServiceCoverageRatio,CustomerValue,ContractRisk,EarlyLifecycle,SupportGap,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,1,1,-0.29061733935216244,-0.9869058217670055,-1.0212380725350887,2.5400000294521208,0.16666666666666666,-0.9876884290436266,2,1,1,False,False,False,False,False,True,False
1,0,0,0,0.9958211184449305,1,0,1,0,1,0,1,0,0.9865381852300249,1.3919016556914172,1.143916531609667,-0.5945725119636086,0.5,1.3620765070852494,1,0,0,False,True,True,False,False,True,False
1,0,1,0,1.607062093178246,0,0,1,1,0,1,1,1,-0.35871015665758454,0.7188283924905056,-0.17658408968650793,-0.6110193300092,0.6666666666666666,0.7042135879533828,0,0,1,True,False,False,False,False,True,False
1,0,0,0,0.3845801437116149,1,0,1,1,1,1,1,1,1.288803862049216,0.8902500224686418,1.351615560138759,-0.2832659833820124,0.8333333333333334,0.9053335656378287,2,0,0,False,False,True,False,False,False,False
1,0,1,1,-0.715653610808353,1,0,0,0,0,0,0,0,-1.501340847051011,-0.8916691412997265,-1.3833324929317796,-0.33074615221495784,0.0,-0.8817837163849862,2,0,1,False,False,False,True,False,False,True
0,0,1,1,1.2810669066538112,1,1,1,0,0,0,0,0,0.5331396700012379,1.2452890271548036,0.6436930431378534,-0.4094586257648879,0.3333333333333333,1.26939063810425,2,0,0,False,False,True,False,False,True,False
0,1,1,1,0.5883271352893868,1,0,1,0,0,1,0,1,0.6626821029237485,0.7542509879942559,0.7976191586413982,-0.5003827602661955,0.3333333333333333,0.7439141084827382,1,0,1,False,False,True,False,False,False,False
1,0,1,1,-1.2453957889105598,0,0,0,0,1,0,0,0,-1.1940927689655694,-0.9919599141775901,-1.4534471707775851,0.9576674465741938,0.16666666666666666,-0.9868746233596454,2,1,0,True,False,False,False,False,False,False
0,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,0,-1.488054443674343,-1.002749302758447,-1.611060330893776,0.5015334560364232,0.0,-1.003546642507153,2,1,1,False,False,False,True,False,False,True
0,0,0,0,-1.2861451872261143,1,1,0,0,0,0,0,1,-0.47496618620342734,-0.9893449707129833,-1.1120428862352472,2.2261723045573323,0.16666666666666666,-0.9901298460955704,2,1,0,False,False,False,False,False,False,True
1,0,1,1,1.607062093178246,1,1,1,1,1,1,1,1,1.597712740556741,2.613475791329742,1.7558562020675017,-0.6286026679213614,1.0,2.5697201526169864,0,0,0,False,True,True,False,False,False,False
1,0,1,1,-0.022913839443928746,1,1,0,0,0,1,0,0,0.8171365421775109,0.2636744094451096,0.9358374467623225,-0.4522012514516433,0.3333333333333333,0.2488343208953366,2,0,0,False,True,True,False,False,True,False
1,1,1,0,-1.2861451872261143,1,0,0,0,0,0,0,1,0.3139140142862202,-0.9789071711693845,-0.7234637285093435,3.5691287849629583,0.0,-0.9796823406931084,2,1,1,False,True,True,False,False,True,False
1,0,1,0,1.5663126948626918,0,1,1,1,1,0,0,1,-0.5779358123726024,0.47286988661365936,-0.4064194940887698,-0.5630933304184694,0.6666666666666666,0.47423650060992595,0,0,0,True,False,False,False,False,False,False
0,0,1,1,-0.715653610808353,1,1,0,0,0,0,0,0,0.335504419773305,-0.5055364811310548,0.41353933853126773,-0.2869233618017221,0.16666666666666666,-0.5168908434863683,2,0,0,False,False,True,False,False,False,True
0,0,1,0,0.5883271352893868,1,0,0,0,0,1,1,1,1.0031461894508595,0.9937490453114852,1.169121284961979,-0.6251363491038752,0.3333333333333333,0.9558335075410979,1,0,1,False,True,True,False,True,False,False
0,0,1,1,0.058584957187179994,1,0,1,0,0,1,1,1,1.086186210555033,0.4870213453632965,1.2465449517269147,-0.609990223385015,0.5,0.44881057167256605,2,0,1,False,True,True,False,False,False,False
0,0,1,1,0.7105753302360499,1,0,1,1,0,1,1,1,1.2904646624712994,1.1936713616223533,1.2780116714314231,-0.023231292922075476,0.6666666666666666,1.2717220814151151,2,0,1,False,True,True,False,False,False,False
0,0,0,0,-0.9194006023861249,1,0,0,0,0,0,0,0,-1.494697645362677,-0.924300998820241,-1.3504705952628544,-0.421700932024248,0.0,-0.9244535279234622,2,1,1,False,False,False,True,True,False,False
1,1,0,0,-1.0008993990172337,1,0,0,1,0,1,1,1,0.9001765632816843,-0.690823903766056,0.7124157930336039,0.6026871371336419,0.5,-0.6883179110796068,2,1,1,False,False,True,False,False,True,False
0,0,1,1,-0.38965842428391806,1,0,0,0,0,0,0,0,-1.5063232483172613,-0.8196153629766515,-1.3458720986913613,-0.4771755298591855,0.0,-0.8136219916645029,1,0,1,False,False,False,True,False,False,True
0,0,0,0,-1.041648797332788,1,0,0,1,0,0,0,1,0.3288612180849715,-0.7960369231655324,0.06494293098189798,0.8952317505553361,0.16666666666666666,-0.7817955909963714,2,1,1,False,False,True,False,False,True,False
0,0,1,0,-0.38965842428391806,1,0,1,1,0,0,0,0,0.6394308970145799,-0.1466739456647117,0.7418205550275991,-0.38670267223185867,0.3333333333333333,-0.1600260536864842,2,0,1,False,True,True,False,False,True,False
1,0,1,1,1.607062093178246,1,1,1,1,1,1,1,0,0.8619781535737647,1.9120336876850696,1.040422299038312,-0.6609807967640158,1.0,1.8681756635287214,0,0,0,False,True,False,False,True,False,False
1,0,0,0,-0.1044126360750375,1,0,0,0,1,1,0,0,0.6693253046120825,0.11165609946065297,0.7563565382339844,-0.3351580720614517,0.3333333333333333,0.11127916555429049,2,0,0,False,False,True,False,False,True,False
1,1,1,0,-0.06366323775948311,0,1,1,1,0,0,1,1,-0.48493098873592827,-0.3171946287348741,-0.3257836378788069,-0.5251214322736668,0.6666666666666666,-0.32514062854181425,1,0,0,True,False,False,False,True,False,False
0,0,0,0,-1.2046463905950056,1,0,1,1,0,1,1,0,1.426650297082144,-0.8738040233440512,0.6238833720686848,2.7011548071007954,0.6666666666666666,-0.8699725365931503,2,1,1,False,True,True,False,False,False,True
1,1,0,0,-0.3489090259683637,1,0,0,0,0,0,0,1,-1.4847328428301763,-0.8094852038406535,-1.3395293960887613,-0.4255871524996036,0.0,-0.7981156941724278,2,0,1,False,False,False,True,False,False,True
0,0,0,0,1.1995681100227022,1,1,1,0,0,1,1,1,0.3089316130199696,1.0531016696636128,0.4986290845022998,-0.6714722744512045,0.6666666666666666,1.013987621823433,1,0,0,False,False,False,False,True,False,False
0,0,1,1,0.1808331521338431,0,1,1,1,0,0,0,0,-0.8237342748409557,-0.3748991794748543,-0.6939704627982914,-0.40617120107984456,0.5,-0.35813275086537816,2,0,0,True,False,False,False,False,False,False
1,0,0,0,1.1995681100227022,1,0,0,0,0,0,0,1,-1.5212704521160125,-0.5177981488054297,-1.3579287652894734,-0.48639783751911386,0.0,-0.48878155526669176,0,0,1,False,False,False,True,True,False,False
0,0,0,0,-0.8786512040705705,1,1,0,0,0,0,0,1,0.2823588062666342,-0.6636636506378703,0.217443207443801,0.20985273274832364,0.16666666666666666,-0.6567774421382796,2,1,0,False,False,True,False,False,True,False
1,0,0,0,-0.9194006023861249,0,0,1,0,1,0,0,0,-0.9549375081855498,-0.847259051031067,-0.828993647133852,-0.3862314594317168,0.3333333333333333,-0.8529705962224069,2,1,0,True,False,False,False,False,True,False
1,0,0,0,0.1808331521338431,1,0,1,1,0,1,1,1,1.2256934460100444,0.5465058156043956,1.1114049014792562,0.33204565202733693,0.6666666666666666,0.6461034631674788,2,0,1,False,True,True,False,False,False,False
0,1,0,0,1.607062093178246,1,0,0,0,0,0,0,1,-1.3252960023101632,-0.224990403713946,-1.1392294193756378,-0.5750005981627051,0.0,-0.21745434127770127,0,0,1,False,True,False,True,True,False,False
0,0,0,0,-0.5526560175461356,1,1,0,1,0,0,0,1,0.6560389012354145,-0.2856175383261339,0.7612358785574829,-0.3972578389550468,0.3333333333333333,-0.30409165449938036,2,0,0,False,True,True,False,False,True,False
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,1,-1.5079840487393448,-1.0030129945363906,-1.6208770675100093,0.46760613442617593,0.0,-1.0038105794857417,2,1,1,False,False,False,True,False,False,True
1,0,1,0,-0.38965842428391806,1,0,0,0,1,1,1,1,0.2873412075328848,-0.2896608122546017,0.29822676918155466,-0.0523771905308795,0.5,-0.2672724459862829,2,0,0,False,True,False,False,True,False,False
1,1,1,0,0.4253295420271693,1,1,0,1,1,1,1,1,1.4797959105888148,1.1112017580705082,1.6506619636749411,-0.6665174004618293,0.8333333333333334,1.0597586928603242,1,0,0,False,True,True,False,False,False,True
0,0,0,0,0.5475777369738324,1,0,1,1,0,1,0,1,0.9931813869183589,0.9321989894764948,1.1377999772653262,-0.5508150621367449,0.5,0.9078849564308515,1,0,1,False,True,True,False,True,False,False
0,0,0,1,-0.9601500007016792,1,0,0,0,0,0,0,0,-1.4814112419860093,-0.9307174987502007,-1.339136726624112,-0.415635138160598,0.0,-0.931667805338215,2,1,1,False,False,False,True,False,False,True
1,0,1,1,-0.3489090259683637,1,0,0,0,0,0,0,1,-1.5046624478951778,-0.7944987211275284,-1.294895966940287,-0.6476980179746901,0.0,-0.8044501816585521,0,0,1,False,False,False,True,False,False,True
1,1,0,0,-1.0008993990172337,1,0,0,0,1,1,1,1,1.167565431237123,-0.6123316511981926,1.3617747410555583,-0.7311592291358966,0.5,-0.6599886753777732,2,1,0,False,True,True,False,True,False,False
1,0,1,1,-0.9194006023861249,1,0,0,0,0,0,1,0,0.6958981113654179,-0.6342839917119931,0.6125792511166586,0.25221904723384725,0.16666666666666666,-0.6343427989582561,2,1,1,False,True,True,False,False,True,False
0,0,1,1,1.5663126948626918,1,1,0,1,1,0,1,1,0.19433638389621016,1.1741142214248734,0.31874647558076413,-0.43994971864794113,0.6666666666666666,1.2003931129515695,0,0,0,False,False,False,False,True,False,False
1,0,1,1,-1.1231475939638966,0,0,1,0,0,0,0,1,-1.1459295567251486,-0.9381448171622774,-1.0296913735101785,-0.3428798818186225,0.16666666666666666,-0.9453485387283861,2,1,1,True,False,False,False,False,True,False
0,1,1,0,0.34383074539606057,1,1,0,1,0,0,0,1,0.6228228927937453,0.4270534401959676,0.6088855800161063,0.01618427188982748,0.3333333333333333,0.4980568129275392,2,0,0,False,True,True,False,False,False,False
0,0,1,1,1.0365705167604848,1,1,1,1,1,0,0,0,0.2192483902274622,0.8475099801269581,0.40461519007841035,-0.6518996388204348,0.6666666666666666,0.8143632870176549,0,0,0,False,True,False,False,True,False,False
1,0,0,0,-1.2046463905950056,1,0,0,1,0,1,1,1,0.16444197629870802,-0.9147421718697873,-0.13814080776642973,1.0373024097982473,0.5,-0.9201205625249675,1,1,1,False,False,False,False,False,True,False
0,0,1,1,1.4033151016004741,1,0,0,0,0,0,0,1,-1.5146272504276788,-0.4472386238907015,-1.3235839360634916,-0.5824777314909911,0.0,-0.44065704617071966,0,0,1,False,False,False,True,True,False,False
1,0,0,0,-0.7971524074394618,0,1,0,0,0,0,0,1,-1.1343039537705644,-0.8384253764699582,-1.0204200111504025,-0.3353404770163458,0.16666666666666666,-0.836012645348095,2,0,0,True,False,False,False,False,False,False
0,0,1,1,-1.2861451872261143,1,0,0,0,0,0,0,1,-1.488054443674343,-1.002749302758447,-1.611060330893776,0.5015334560364232,0.0,-1.003546642507153,1,1,1,False,False,False,True,False,True,False
0,0,1,1,1.5663126948626918,1,1,1,1,1,1,0,0,1.1692262316592064,2.1566297860425414,1.334778715360917,-0.63220454110601,0.8333333333333334,2.117068234337688,0,0,0,False,False,True,False,True,False,False
0,0,0,0,-1.0008993990172337,1,0,0,0,0,0,1,1,-0.34044135201466647,-0.819109953735593,-0.34888251003251325,0.046656032965698764,0.16666666666666666,-0.8197585264166858,2,1,1,False,False,False,False,True,False,False
0,0,0,0,-0.1859114327061462,1,0,1,0,1,1,0,1,0.8719429561062655,0.0799032145332838,0.8608955015215373,-0.0065964296894662705,0.5,0.11149911303644758,1,0,0,False,False,True,False,False,False,False
1,0,1,0,1.5663126948626918,1,0,0,0,0,0,0,0,-1.36681601286225,-0.2767618894501964,-1.1816235517882716,-0.5698473805538425,0.0,-0.2675363829648714,0,0,1,False,True,False,True,False,False,True
0,0,0,0,1.4033151016004741,1,1,1,1,1,1,1,1,1.7720967848755051,2.4181900554477145,1.813898019868404,-0.2354710817861817,1.0,2.475692603994829,1,0,0,False,True,True,False,False,False,False
0,0,1,1,1.2403175083382567,1,1,1,1,1,1,1,1,0.8104933404891773,1.4484635420603087,0.9204561884356719,-0.4216607718424165,1.0,1.4651438972240634,0,0,0,False,True,False,False,True,False,False
0,0,0,0,-1.1231475939638966,1,0,0,0,0,1,0,1,0.5181924662024865,-0.8289983954084762,0.3247455924017962,0.6419548704788347,0.16666666666666666,-0.8351548501676823,2,1,1,False,False,True,False,False,True,False
1,0,0,0,0.1808331521338431,1,1,1,1,1,1,0,1,0.461725251851649,0.29670180463253915,0.6219458582628491,-0.5774446535947333,0.8333333333333334,0.2717528485361059,2,0,0,False,True,False,False,True,False,False
1,0,1,0,0.832823525182713,1,0,1,1,1,1,1,1,1.5545319295825708,1.5416785855633537,1.578985187974623,-0.16434258754247555,0.8333333333333334,1.5941211007609826,1,0,0,False,True,True,False,False,False,False
1,0,0,1,-0.8379018057550162,1,0,0,0,0,0,0,1,-0.6792446381196942,-0.8004098118164297,-0.7318331257526707,0.21663094764267882,0.0,-0.7772646728639354,2,0,1,False,False,False,False,False,True,False
1,0,0,0,1.5255632965471373,1,0,0,0,0,0,0,0,-1.5046624478951778,-0.4220560590970925,-1.323287075345602,-0.5495763810810536,0.0,-0.4058173649970361,1,0,1,False,False,False,True,False,False,False
0,0,0,0,-1.2046463905950056,1,0,0,0,0,0,0,1,0.3122532138641368,-0.9107428465709766,-0.06369722175999325,1.2832754914725406,0.0,-0.9142479647513733,2,1,1,False,True,True,False,False,True,False
0,0,1,0,-0.7564030091239073,1,0,1,1,0,0,0,1,0.5862852835079091,-0.4908356645107018,0.6435168453011514,-0.22790395858389498,0.3333333333333333,-0.503430057578354,2,0,1,False,True,True,False,False,True,False
1,0,0,0,1.158818711707148,0,1,1,1,1,0,0,0,-0.7074782452951129,0.17346984707358687,-0.5183678226454573,-0.617247334804718,0.6666666666666666,0.16019548558602817,1,0,0,True,False,False,False,True,False,False
0,0,0,0,-1.163896992279451,1,0,0,0,0,1,1,1,0.7789381324695913,-0.8487313301245851,0.4841584875642964,0.9787777800205708,0.3333333333333333,-0.8567976824119403,2,1,1,False,False,True,False,False,True,False
1,0,0,0,-1.2861451872261143,1,0,0,0,0,1,1,0,0.8503525506191802,-0.9718094674797372,-0.4592299012557291,4.482339191638784,0.3333333333333333,-0.9725780370194343,2,1,1,False,False,True,False,False,True,False
1,1,0,0,-0.9194006023861249,0,0,0,0,1,0,0,1,-1.1741631639005676,-0.8835606191279624,-1.0747095394068444,-0.2834213939461185,0.16666666666666666,-0.8820036638671432,2,1,0,True,False,False,False,False,True,False
0,0,0,1,-0.38965842428391806,1,0,1,0,1,0,0,1,-0.32217254737174844,-0.4472386238907015,-0.19063307995045523,-0.4380648674473728,0.3333333333333333,-0.4529301156750855,2,0,0,False,False,False,False,False,False,False
0,0,0,1,-0.2266608310217006,1,0,0,0,0,0,0,0,-1.4747680402976753,-0.7559118242884556,-1.2615728207646586,-0.6610831541433043,0.0,-0.7677629416347489,0,0,1,False,False,False,True,False,False,True
1,1,1,0,1.607062093178246,1,1,1,1,1,0,1,0,0.44677804805289767,1.4856440827503494,0.6055274193547687,-0.5715923740740039,0.8333333333333334,1.4722701956459532,0,0,0,False,True,False,False,False,False,False
0,0,1,1,1.3625657032849199,0,0,0,0,1,1,1,0,-0.47994858746967795,0.46704669318407266,-0.2983282157722424,-0.603045611712129,0.5,0.45518904865512155,0,0,0,True,False,False,False,False,False,False
0,0,1,1,0.09933435550273437,1,0,1,1,1,1,1,1,1.4930823139654827,0.6506860422069266,1.4964821824005383,-0.08842496974176671,0.8333333333333334,0.6803932756357696,2,0,0,False,True,True,False,False,True,False
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,0,1,-0.6543326317884421,-0.9917181967144751,-1.2003935157813475,1.9208264100651056,0.0,-0.9925052789028669,2,1,1,False,False,False,False,False,False,True
0,1,0,0,-0.8379018057550162,1,0,0,0,0,0,0,1,0.2757156045783002,-0.6477102980722855,0.142737422275606,0.44542288568101435,0.0,-0.625500910175541,2,0,1,False,True,True,False,True,False,False
0,0,0,0,-0.26741022933725495,0,1,1,0,0,0,1,1,-0.6759230372755272,-0.5033390496481919,-0.5398846940718192,-0.4354470185576927,0.5,-0.5017584567139602,2,0,0,True,False,False,False,False,False,False
1,0,0,0,-0.5934054158616899,0,0,0,1,1,0,0,1,-0.9898143170493026,-0.7447268980406833,-0.8956441220545944,-0.2746284278190601,0.3333333333333333,-0.7337150713968309,2,0,0,True,False,False,False,False,True,False
0,0,1,0,-1.2046463905950056,0,0,1,0,0,0,0,0,-1.1691807626343174,-0.9701394195527613,-1.169307183163275,0.060478275103207114,0.16666666666666666,-0.9731059109766113,2,1,1,True,False,False,False,True,False,False
1,0,0,0,1.4033151016004741,1,0,0,0,0,0,0,0,-1.476428840719759,-0.42122103513360454,-1.2950961513732455,-0.5508787554814468,0.0,-0.4067631391703115,1,0,1,False,False,False,True,False,True,False
1,0,1,1,-0.8379018057550162,1,0,0,0,0,0,0,0,-1.4847328428301763,-0.9129622523686682,-1.3764654968853278,-0.2979334301127396,0.0,-0.9052741074793638,0,0,1,False,False,False,True,False,False,False
1,1,1,0,-0.022913839443928746,1,0,0,0,0,1,0,1,0.6958981113654179,0.1436067532214797,0.6649351797365697,0.07127333197919515,0.16666666666666666,0.1974545890634397,2,0,1,False,True,True,False,True,False,False
0,1,0,0,-0.9601500007016792,1,0,0,0,0,0,1,1,0.6660037037679153,-0.6835504055577797,0.5011741643657679,0.5354607776466697,0.16666666666666666,-0.6757149203520054,2,1,1,False,True,True,False,False,True,False
0,1,1,1,0.7920741268671586,1,0,1,1,0,1,1,1,0.5264964683129039,0.7812793952334699,0.5771766975392476,-0.20219174314971594,0.6666666666666666,0.8369738881834043,1,0,1,False,True,False,False,False,True,False
1,0,0,0,-0.6341548141772443,1,0,0,0,0,0,0,0,-1.4930368449405937,-0.8631245063373373,-1.3272839261171046,-0.49618111279825916,0.0,-0.8624943221998091,1,0,1,False,False,False,True,True,False,False
0,1,0,0,1.5255632965471373,0,0,0,0,0,1,1,1,-0.6559934322105255,0.4230541148971569,-0.4370385459472015,-0.723035785933445,0.3333333333333333,0.380934778678887,1,0,1,True,False,False,False,False,True,False
1,0,0,1,-0.7564030091239073,1,1,0,0,1,0,0,1,0.6975589117875013,-0.5000429024238975,0.5978144826100202,0.3089016633382418,0.3333333333333333,-0.48279898375201874,2,0,0,False,True,True,False,False,False,True
1,0,1,1,-0.5934054158616899,1,1,1,0,1,0,0,1,-0.11623329503339824,-0.5337075527413573,-0.06871322972398969,-0.1582636668575986,0.5,-0.5254687952904948,1,0,0,False,False,False,False,False,False,True
0,0,0,0,0.5475777369738324,0,1,0,1,1,1,1,1,-0.14114530136465026,0.25998272455389987,0.07289292114052323,-0.732482635298001,0.8333333333333334,0.2168539569896953,0,0,0,True,False,False,False,False,False,False
0,1,1,0,-0.7971524074394618,1,0,1,1,0,1,1,1,1.0961510130875338,-0.4676088137368408,0.9516922555036196,0.44296843659016427,0.6666666666666666,-0.4520063362500257,2,0,1,False,False,True,False,False,True,False
0,0,0,0,-0.5526560175461356,1,0,0,0,0,1,0,1,0.455082050163315,-0.3545509639435437,0.5046100221814492,-0.19454209233381817,0.16666666666666666,-0.3546575806472962,2,0,1,False,False,True,False,False,False,False
1,0,0,0,-1.2046463905950056,1,1,1,0,1,0,1,0,0.2026403860066275,-0.9178625245754526,-0.1962231660791437,1.3680937954981582,0.6666666666666666,-0.9186029248980835,0,1,0,False,False,False,False,False,False,True
0,0,1,1,1.1995681100227022,1,0,0,0,0,0,0,0,-1.473107239875592,-0.4761348478903489,-1.3086892609921756,-0.4925909200352704,0.0,-0.44923499797484634,0,0,1,False,False,False,True,True,False,False
1,1,0,0,0.22158255044939748,1,0,0,0,0,0,0,0,-1.488054443674343,-0.6882089603014491,-1.3241095682654165,-0.49018825257080806,0.0,-0.6747691461787299,0,0,1,False,False,False,True,False,False,True
0,0,0,0,-1.041648797332788,1,0,0,0,0,0,0,0,-1.519609651693929,-0.9622726148441121,-1.4822156628057133,-0.05119915853052375,0.0,-0.953156674344963,2,1,1,False,False,False,True,False,True,False
1,0,0,0,0.5475777369738324,1,0,0,0,0,0,1,0,-0.3105469444171641,0.17008580258997785,-0.06951938204036595,-0.8170603200214182,0.16666666666666666,0.11365459836158713,1,0,1,False,False,False,False,True,False,False
1,0,0,1,-0.8379018057550162,1,1,0,0,0,0,0,1,0.44179564678664707,-0.6120240107905917,0.34712691284949043,0.30449401129998604,0.16666666666666666,-0.5991072123166897,2,0,0,False,True,True,False,False,True,False
0,0,1,0,-0.9194006023861249,1,0,0,0,0,0,0,0,-1.5079840487393448,-0.9283662470635374,-1.3779872054750235,-0.37183805026373284,0.0,-0.926213107780719,1,1,1,False,False,False,True,False,False,False
0,0,0,0,-0.9601500007016792,1,0,0,1,0,0,0,1,0.2923236087991349,-0.7020967272731428,0.36308540263075156,-0.2595694587534593,0.16666666666666666,-0.7202542854888169,2,1,1,False,False,True,False,False,True,False
0,0,0,0,-0.3489090259683637,1,1,0,0,0,0,0,1,-0.46001898240467626,-0.45097425741156844,-0.27179567679644684,-0.626889260720405,0.16666666666666666,-0.472417462594204,2,0,0,False,False,False,False,False,True,False
1,0,1,0,-1.163896992279451,1,0,1,0,0,1,0,1,0.8852293594829335,-0.8510386331815912,0.44979990940747977,1.4594148361657422,0.3333333333333333,-0.8511670268687188,2,1,1,False,True,True,False,False,True,False
1,0,0,0,0.5475777369738324,1,1,1,0,0,0,0,0,0.6394308970145799,0.679340548743459,0.737228387751152,-0.3708318240908948,0.3333333333333333,0.6923804134133312,2,0,0,False,True,True,False,False,False,True
1,1,0,0,1.4033151016004741,1,1,1,0,1,1,0,1,0.9118021662362689,1.6871924983585362,1.0134971368399268,-0.3982889634353589,0.6666666666666666,1.7123428724204206,0,0,0,False,False,True,False,False,False,False
1,0,1,1,-0.7564030091239073,1,0,1,0,1,1,1,0,0.5132100649362364,-0.5119090324313572,0.5389140629126202,-0.11518985678985053,0.6666666666666666,-0.5169788224792311,2,0,0,False,True,False,False,True,False,False
1,0,1,1,0.4660789403427237,1,0,0,0,0,0,0,0,-1.5079840487393448,-0.668717743048455,-1.3741861121724417,-0.3849748919646704,0.0,-0.6330671035617449,2,0,1,False,False,False,True,False,False,True
1,0,0,0,-0.9601500007016792,1,0,0,0,0,0,0,0,-1.526252853382263,-0.9423419112945455,-1.425687621123903,-0.26918219987636327,0.0,-0.9370125291546324,2,1,1,False,False,False,True,False,False,True
1,0,0,0,-1.2861451872261143,1,0,0,0,0,0,1,1,0.5630340775987405,-0.9756110239450901,-0.6007545208064264,3.9932203050910506,0.16666666666666666,-0.9763831284607521,2,1,1,False,False,True,False,False,True,False
